outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart,outBreathWfm_smoothed
,,0.046031892,118.359375,,,,,,,,,0.046031892
,,,118.359375,,,,,,,,,0.046031892
,,,118.359375,,,,,,,,,0.046031892
,,,118.359375,,,,,,,,,0.046031892
,,-0.20194662,118.359375,,,,,,,,,-0.20194662
,,-0.74256,118.359375,,,,,,,,,-0.74256
,,-0.37258685,118.359375,,,,,,,,,-0.37258685
,,0.024375737,118.359375,,,,,,,,,0.024375737
,,-0.21825123,118.359375,,,,,,,,,-0.21825123
,,,118.359375,,,,,,,,,-0.21825123
,,,118.359375,,,,,,,,,-0.21825123
,,,118.359375,,,,,,,,,-0.21825123
,,-0.1084066,118.359375,,,,,,,,,-0.1084066
,,0.4477399,118.359375,,,,,,,,,0.4477399
,,0.47239006,118.359375,,,,,,,,,0.47239006
,,0.29077765,118.359375,,,,,,,,,0.29077765
,,0.30844074,118.359375,,,,,,,,,0.30844074
,,0.5009908,118.359375,,,,,,,,,0.5009908
,,0.56481564,118.359375,,,,,,,,,0.56481564
,,0.3771685,118.359375,,,,,,,,,0.3771685
,,0.09956941,118.359375,,,,,,,,,0.09956941
,,-0.06892431,118.359375,,,,,,,,,-0.06892431
,,-0.07199672,118.359375,,,,,,,,,-0.07199672
,,0.003294945,118.359375,,,,,,,,,0.003294945
,,0.0468446,118.359375,,,,,,,,,0.0468446
,,0.014788866,118.359375,,,,,,,,,0.014788866
,,-0.095027685,118.359375,,,,,,,,,-0.095027685
,,-0.2363958,118.359375,,,,,,,,,-0.2363958
,,-0.3201112,118.359375,,,,,,,,,-0.3201112
,,-0.2999883,118.359375,,,,,,,,,-0.2999883
,,-0.1889759,118.359375,,,,,,,,,-0.1889759
,,-0.036875695,118.359375,,,,,,,,,-0.036875695
,,0.051294774,118.359375,,,,,,,,,0.051294774
,,0.004392847,118.359375,,,,,,,,,0.004392847
,,-0.086469725,118.359375,,,,,,,,,-0.086469725
,,-0.07269026,118.359375,,,,,,,,,-0.07269026
,,0.040625334,118.359375,,,,,,,,,0.040625334
,,0.11806615,118.359375,,,,,,,,,0.11806615
,,0.09819299,118.359375,,,,,,,,,0.09819299
,,0.042808756,118.359375,,,,,,,,,0.042808756
,,0.007526323,118.359375,,,,,,,,,0.007526323
,,-0.001734681,118.359375,,,,,,,,,-0.001734681
,,0.023360714,118.359375,,,,,,,,,0.023360714
,,0.050069146,118.359375,,,,,,,,,0.050069146
,,-0.04596942,118.359375,,,,,,,,,-0.04596942
,,-0.27100044,118.359375,,,,,,,,,-0.27100044
,,-0.32792923,118.359375,,,,,,,,,-0.32792923
,,-0.033604234,118.359375,,,,,,,,,-0.033604234
,,0.26124123,118.359375,,,,,,,,,0.26124123
,,0.28321284,118.359375,,,,,,,,,0.28321284
,,0.46158,118.359375,,,,,,,,,0.46158
,,,118.359375,,,,,,,,,0.46158
,,,118.359375,,,,,,,,,0.46158
,,0.645578,118.359375,,,,,,,,,0.645578
,,-0.4506141,118.359375,,,,,,,,,-0.4506141
,,,118.359375,,,,,,,,,-0.4506141
,,,118.359375,,,,,,,,,-0.4506141
,,,118.359375,,,,,,,,,-0.4506141
,,,118.359375,,,,,,,,,-0.4506141
,,-0.13549483,118.359375,,,,,,,,,-0.13549483
,,,118.359375,,,,,,,,,-0.13549483
,,,118.359375,,,,,,,,,-0.13549483
,,,118.359375,,,,,,,,,-0.13549483
,,0.27382308,118.359375,,,,,,,,,0.27382308
,,-0.19842947,118.359375,,,,,,,,,-0.19842947
,,-0.3714531,118.359375,,,,,,,,,-0.3714531
,,-0.45805255,118.359375,,,,,,,,,-0.45805255
,,-0.500531,118.359375,,,,,,,,,-0.500531
,,-0.40634558,118.359375,,,,,,,,,-0.40634558
,,-0.16242036,118.359375,,,,,,,,,-0.16242036
,,0.105724394,118.359375,,,,,,,,,0.105724394
,,0.25112432,118.359375,,,,,,,,,0.25112432
,,0.24652119,118.359375,,,,,,,,,0.24652119
,,0.19040176,118.359375,,,,,,,,,0.19040176
,,0.18403453,118.359375,,,,,,,,,0.18403453
,,0.22278383,118.359375,,,,,,,,,0.22278383
,,0.22630522,118.359375,,,,,,,,,0.22630522
,,0.16101682,118.359375,,,,,,,,,0.16101682
,,0.07179122,118.359375,,,,,,,,,0.07179122
,,0.002706647,118.359375,,,,,,,,,0.002706647
,,-0.0474713,118.359375,,,,,,,,,-0.0474713
,,-0.081153125,118.359375,,,,,,,,,-0.081153125
,,-0.059399858,118.359375,,,,,,,,,-0.059399858
